fsw	V(in)	V(out)	I(V1)	I(V2)
6.020000000000000e+004	1.000000e+000	1.900000e+000	-2.115031e-004	7.862128e-005
6.070000000000000e+004	1.000000e+000	1.900000e+000	-2.116834e-004	7.848697e-005
6.120000000000000e+004	1.000000e+000	1.900000e+000	-2.118596e-004	7.835064e-005
6.170000000000000e+004	1.000000e+000	1.900000e+000	-2.120319e-004	7.821234e-005
6.220000000000000e+004	1.000000e+000	1.900000e+000	-2.122003e-004	7.807214e-005
6.270000000000000e+004	1.000000e+000	1.900000e+000	-2.123651e-004	7.793009e-005
6.320000000000000e+004	1.000000e+000	1.900000e+000	-2.125263e-004	7.778624e-005
6.370000000000000e+004	1.000000e+000	1.900000e+000	-2.126840e-004	7.764064e-005
6.420000000000000e+004	1.000000e+000	1.900000e+000	-2.128382e-004	7.749334e-005
6.470000000000000e+004	1.000000e+000	1.900000e+000	-2.129892e-004	7.734440e-005
6.520000000000000e+004	1.000000e+000	1.900000e+000	-2.131370e-004	7.719385e-005
6.570000000000000e+004	1.000000e+000	1.900000e+000	-2.132816e-004	7.704174e-005
6.620000000000000e+004	1.000000e+000	1.900000e+000	-2.134233e-004	7.688811e-005
6.670000000000000e+004	1.000000e+000	1.900000e+000	-2.135619e-004	7.673300e-005
6.720000000000000e+004	1.000000e+000	1.900000e+000	-2.136977e-004	7.657646e-005
6.770000000000000e+004	1.000000e+000	1.900000e+000	-2.138307e-004	7.641852e-005
6.820000000000000e+004	1.000000e+000	1.900000e+000	-2.139610e-004	7.625922e-005
6.870000000000000e+004	1.000000e+000	1.900000e+000	-2.140886e-004	7.609859e-005
6.920000000000000e+004	1.000000e+000	1.900000e+000	-2.142137e-004	7.593668e-005
6.970000000000000e+004	1.000000e+000	1.900000e+000	-2.143362e-004	7.577351e-005
7.020000000000000e+004	1.000000e+000	1.900000e+000	-2.144563e-004	7.560912e-005
7.070000000000000e+004	1.000000e+000	1.900000e+000	-2.145740e-004	7.544354e-005
7.120000000000000e+004	1.000000e+000	1.900000e+000	-2.146894e-004	7.527680e-005
7.170000000000000e+004	1.000000e+000	1.900000e+000	-2.148025e-004	7.510892e-005
7.220000000000000e+004	1.000000e+000	1.900000e+000	-2.149134e-004	7.493995e-005
7.270000000000000e+004	1.000000e+000	1.900000e+000	-2.150222e-004	7.476990e-005
7.320000000000000e+004	1.000000e+000	1.900000e+000	-2.151289e-004	7.459881e-005
7.370000000000000e+004	1.000000e+000	1.900000e+000	-2.152336e-004	7.442669e-005
7.420000000000000e+004	1.000000e+000	1.900000e+000	-2.153362e-004	7.425358e-005
7.470000000000000e+004	1.000000e+000	1.900000e+000	-2.154369e-004	7.407951e-005
7.500000000000000e+004	1.000000e+000	1.900000e+000	-2.154965e-004	7.397460e-005
