time	I(Out)
2.905146498798733e-008	9.239321e-003
2.923432213084371e-008	8.423063e-003
2.941717927370009e-008	7.680531e-003
2.960003641655648e-008	7.011724e-003
2.978289355941286e-008	6.416643e-003
3.000000000000003e-008	5.759635e-003
3.000035000000003e-008	5.758632e-003
3.000045000000008e-008	5.632194e-003
3.000045312500013e-008	5.468530e-003
3.000045390625017e-008	5.347133e-003
3.000045546875014e-008	4.976417e-003
3.000045859375019e-008	4.093435e-003
3.000046484375019e-008	2.523121e-003
3.000047734375018e-008	8.848645e-004
3.000050234375016e-008	6.406915e-005
3.000052077435700e-008	2.639866e-007
3.000053883851854e-008	5.098679e-009
3.000056316173666e-008	4.231430e-010
3.000058347645839e-008	1.582665e-010
3.000100000000006e-008	-3.597179e-009
3.000182903529870e-008	-1.047194e-008
3.000265807059734e-008	-1.690188e-008
3.000348710589599e-008	-2.288699e-008
3.000431614119463e-008	-2.842727e-008
3.000514517649328e-008	-3.352272e-008
3.000597421179192e-008	-3.817335e-008
3.000680324709056e-008	-4.237915e-008
3.000774140921512e-008	-4.681217e-008
3.000864697171879e-008	-5.071524e-008
3.000958797101038e-008	-5.441184e-008
3.001050506104950e-008	-5.769526e-008
3.001145074228680e-008	-6.077879e-008
3.001237988733598e-008	-6.353739e-008
3.001333278813134e-008	-6.611157e-008
3.001427502452683e-008	-6.842674e-008
3.001523767732019e-008	-7.057650e-008
3.001619450868395e-008	-7.251753e-008
3.001716963974382e-008	-7.431296e-008
3.001814308989941e-008	-7.593864e-008
3.001913372673339e-008	-7.743778e-008
3.002012637843037e-008	-7.879786e-008
3.002113595989071e-008	-8.004889e-008
3.002215102022378e-008	-8.118528e-008
3.002318351731484e-008	-8.222827e-008
3.002422490788488e-008	-8.317627e-008
3.002528496054347e-008	-8.404459e-008
3.002635743687697e-008	-8.483385e-008
3.002745051521443e-008	-8.555529e-008
3.002855982260735e-008	-8.621070e-008
3.002969242342802e-008	-8.680848e-008
3.003084550017307e-008	-8.735091e-008
3.003202539378673e-008	-8.784439e-008
3.003323063847689e-008	-8.829134e-008
3.003446718751363e-008	-8.869670e-008
3.003573481582969e-008	-8.906285e-008
3.003703939833538e-008	-8.939367e-008
3.003838192833691e-008	-8.969134e-008
3.003976851439461e-008	-8.995897e-008
3.004120144113453e-008	-9.019857e-008
3.004268740002272e-008	-9.041262e-008
3.004423015636796e-008	-9.060292e-008
3.004751478039042e-008	-9.091998e-008
3.005111576459552e-008	-9.116307e-008
3.005511324893467e-008	-9.134369e-008
3.006210416000124e-008	-9.151899e-008
3.007083433210045e-008	-9.160436e-008
3.008027727196019e-008	-9.160721e-008
3.008972021181992e-008	-9.160275e-008
3.009916315167965e-008	-9.159097e-008
3.010860609153939e-008	-9.157188e-008
3.011804903139912e-008	-9.154548e-008
3.012749197125886e-008	-9.151176e-008
3.013693491111859e-008	-9.147072e-008
3.031979205397497e-008	-9.091744e-008
3.050264919683135e-008	-9.040347e-008
3.068550633968773e-008	-8.992881e-008
3.086836348254412e-008	-8.949346e-008
3.105122062540050e-008	-8.909742e-008
3.123407776825688e-008	-8.874070e-008
3.141693491111326e-008	-8.842329e-008
3.159979205396964e-008	-8.813059e-008
3.178264919682602e-008	-8.785870e-008
3.196550633968241e-008	-8.760760e-008
3.214836348253879e-008	-8.737730e-008
3.233122062539517e-008	-8.716781e-008
3.251407776825156e-008	-8.697912e-008
3.269693491110794e-008	-8.681123e-008
3.287979205396432e-008	-8.665640e-008
3.306264919682070e-008	-8.651257e-008
3.324550633967708e-008	-8.637975e-008
3.342836348253347e-008	-8.625793e-008
3.361122062538985e-008	-8.614711e-008
3.379407776824623e-008	-8.604730e-008
3.397693491110261e-008	-8.595849e-008
3.412322992380224e-008	-8.589201e-008
3.426952493650187e-008	-8.582948e-008
3.441581994920150e-008	-8.577091e-008
3.456211496190112e-008	-8.571630e-008
